Sl. No,State/UT,District,Male - Total Male,Male - Male_Below 12 years,Male - Male_12 years & Above_Below 16 years,Male - Male_16 years & Above_Below 18 years,Male - Male_Children,Male - Male_18 years & Above,Female - Total Female,Female - Female_Below 12 years,Female - Female_12 years & Above_Below 16 years,Female - Female_16 years & Above_Below 18 years,Female - Female_Children,Female - Female_18 years & Above,Transgender - Total Transgender,Transgender - Transgender_Below 12 years,Transgender - Transgender_12 years & Above_Below 16 years,Transgender - Transgender_16 years & Above_Below 18 years,Transgender - Transgender_Children,Transgender - Transgender_18 years & Above,Total - Grand Total,Total - Total_Below 12 years,Total - Total_12 years & Above_Below 14 years,Total - Total_14 years & Above_Below 18 years,Total - Total_Children,Total - Total_18 years & Above
26,Tamil Nadu,Thanjavur,214,36,15,9,60,154,614,27,14,119,160,454,0,0,0,0,0,0,828,63,29,128,220,608
27,Tamil Nadu,Theni,185,29,13,10,52,133,442,24,52,69,145,297,0,0,0,0,0,0,627,53,65,79,197,430
28,Tamil Nadu,Thirunelveli,89,6,10,9,25,64,235,10,8,60,78,157,0,0,0,0,0,0,324,16,18,69,103,221
29,Tamil Nadu,Thirunelveli City,72,7,2,12,21,51,120,1,11,13,25,95,0,0,0,0,0,0,192,8,13,25,46,146
30,Tamil Nadu,Thiruvallur,181,31,16,5,52,129,574,25,50,47,122,452,0,0,0,0,0,0,755,56,66,52,174,581
31,Tamil Nadu,Thiruvannamalai,154,27,12,10,49,105,602,27,25,150,202,400,0,0,0,0,0,0,756,54,37,160,251,505
32,Tamil Nadu,Thiruvarur,33,0,12,0,12,21,166,0,15,20,35,131,0,0,0,0,0,0,199,0,27,20,47,152
33,Tamil Nadu,Thoothukudi,212,25,5,13,43,169,512,35,19,54,108,404,0,0,0,0,0,0,724,60,24,67,151,573
34,Tamil Nadu,Tiruppur,138,0,7,13,20,118,418,0,14,108,122,296,0,0,0,0,0,0,556,0,21,121,142,414
35,Tamil Nadu,Tiruppur City,178,3,16,30,49,129,327,21,28,37,86,241,0,0,0,0,0,0,505,24,44,67,135,370
36,Tamil Nadu,Trichy,135,17,3,15,35,100,392,28,17,60,105,287,0,0,0,0,0,0,527,45,20,75,140,387
37,Tamil Nadu,Trichy City,126,12,11,4,27,99,255,11,32,37,80,175,0,0,0,0,0,0,381,23,43,41,107,274
38,Tamil Nadu,Vellore,126,21,10,11,42,84,382,23,29,90,142,240,0,0,0,0,0,0,508,44,39,101,184,324
39,Tamil Nadu,Villupuram,203,0,6,19,25,178,596,0,6,44,50,546,0,0,0,0,0,0,799,0,12,63,75,724
40,Tamil Nadu,Virudhunagar,234,19,37,25,81,153,592,17,67,92,176,416,0,0,0,0,0,0,826,36,104,117,257,569
41,Tamil Nadu,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Tamil Nadu,Other Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Tamil Nadu,Chengalpattu,126,22,9,6,37,89,379,14,22,29,65,314,0,0,0,0,0,0,505,36,31,35,102,403
44,Tamil Nadu,Kallakurichi,70,2,4,7,13,57,307,2,32,55,89,218,0,0,0,0,0,0,377,4,36,62,102,275
45,Tamil Nadu,Ranipet,68,6,1,4,11,57,252,11,12,52,75,177,0,0,0,0,0,0,320,17,13,56,86,234
46,Tamil Nadu,Tiruppattur,106,17,13,10,40,66,327,22,14,66,102,225,0,0,0,0,0,0,433,39,27,76,142,291
47,Tamil Nadu,Tenkasi,183,47,16,6,69,114,503,28,47,49,124,379,0,0,0,0,0,0,686,75,63,55,193,493
48,Tamil Nadu,Avadi,573,63,35,24,122,451,958,41,53,112,206,752,2,0,0,0,0,2,1533,104,88,136,328,1205
49,Tamil Nadu,Tambaram,243,21,12,11,44,199,482,36,30,53,119,363,0,0,0,0,0,0,725,57,42,64,163,562
Total Districts,Total Districts,Total Districts,8037,876,569,506,1951,6086,19935,930,1249,2879,5058,14877,3,0,0,0,0,3,27975,1806,1818,3385,7009,20966
1,Telangana,Cyberabad Commissionerate,1919,222,71,47,340,1579,2474,206,51,71,328,2146,0,0,0,0,0,0,4393,428,122,118,668,3725
2,Telangana,Hyderabad Commissionerate,1674,56,109,11,176,1498,1999,48,108,8,164,1835,0,0,0,0,0,0,3673,104,217,19,340,3333
3,Telangana,Karimnagar Commissionerate,133,15,5,4,24,109,286,8,3,48,59,227,0,0,0,0,0,0,419,23,8,52,83,336
4,Telangana,Khammam Commissionerate,158,26,0,1,27,131,345,10,4,25,39,306,0,0,0,0,0,0,503,36,4,26,66,437
5,Telangana,Nizamabad Commissionerate,357,36,19,8,63,294,436,33,12,29,74,362,0,0,0,0,0,0,793,69,31,37,137,656
6,Telangana,Rachakonda Commissionerate,1787,52,84,120,256,1531,2135,74,46,93,213,1922,0,0,0,0,0,0,3922,126,130,213,469,3453
7,Telangana,Ramagundam Commissionerate,257,0,27,3,30,227,460,0,26,2,28,432,0,0,0,0,0,0,717,0,53,5,58,659
8,Telangana,Siddipet Commissionerate,168,27,2,0,29,139,305,29,2,0,31,274,0,0,0,0,0,0,473,56,4,0,60,413
9,Telangana,Warangal Commissionerate,359,23,19,13,55,304,821,23,43,136,202,619,0,0,0,0,0,0,1180,46,62,149,257,923
10,Telangana,Adilabad,78,4,2,3,9,69,117,1,1,1,3,114,0,0,0,0,0,0,195,5,3,4,12,183
11,Telangana,Bhadradri Kothagudem,123,3,22,0,25,98,410,6,66,65,137,273,0,0,0,0,0,0,533,9,88,65,162,371
12,Telangana,Jagityal,96,0,4,7,11,85,275,5,12,28,45,230,0,0,0,0,0,0,371,5,16,35,56,315
13,Telangana,Jayashankar Bhupalpalli,32,4,0,1,5,27,101,3,0,0,3,98,0,0,0,0,0,0,133,7,0,1,8,125
14,Telangana,Jogulamba Gadwal,80,0,18,0,18,62,115,0,0,15,15,100,0,0,0,0,0,0,195,0,18,15,33,162
15,Telangana,Kamareddy,231,3,20,23,46,185,364,4,38,57,99,265,0,0,0,0,0,0,595,7,58,80,145,450
16,Telangana,Kumaram Bheem Asifabad,42,3,0,4,7,35,56,2,0,3,5,51,0,0,0,0,0,0,98,5,0,7,12,86
17,Telangana,Mahabubabad,53,0,4,1,5,48,213,0,54,16,70,143,0,0,0,0,0,0,266,0,58,17,75,191
18,Telangana,Mahabubnagar,174,27,9,3,39,135,336,22,3,4,29,307,0,0,0,0,0,0,510,49,12,7,68,442
19,Telangana,Medak,114,15,5,0,20,94,234,20,8,0,28,206,0,0,0,0,0,0,348,35,13,0,48,300
20,Telangana,Nagarkurnool,91,14,6,2,22,69,239,15,6,15,36,203,0,0,0,0,0,0,330,29,12,17,58,272
21,Telangana,Nalgonda,165,19,11,7,37,128,363,8,14,18,40,323,0,0,0,0,0,0,528,27,25,25,77,451
22,Telangana,Nirmal,105,0,3,15,18,87,155,0,13,25,38,117,0,0,0,0,0,0,260,0,16,40,56,204
23,Telangana,Rajanna Siricilla,51,0,0,8,8,43,153,0,0,14,14,139,0,0,0,0,0,0,204,0,0,22,22,182
24,Telangana,Sangareddy,321,40,24,16,80,241,536,34,63,88,185,351,0,0,0,0,0,0,857,74,87,104,265,592
25,Telangana,Suryapet,121,17,3,9,29,92,266,6,21,2,29,237,0,0,0,0,0,0,387,23,24,11,58,329
26,Telangana,Vikarabad,120,28,4,1,33,87,220,17,3,4,24,196,0,0,0,0,0,0,340,45,7,5,57,283
27,Telangana,Wanaparthy,48,3,3,11,17,31,168,3,1,45,49,119,0,0,0,0,0,0,216,6,4,56,66,150
28,Telangana,Railway Police Secunderabad,21,3,0,1,4,17,14,0,1,0,1,13,0,0,0,0,0,0,35,3,1,1,5,30
29,Telangana,Mulug,24,4,0,0,4,20,63,4,1,0,5,58,0,0,0,0,0,0,87,8,1,0,9,78
