Sl. No,State/UT,District,Male - Total Male,Male - Male_Below 12 years,Male - Male_12 years & Above_Below 16 years,Male - Male_16 years & Above_Below 18 years,Male - Male_Children,Male - Male_18 years & Above,Female - Total Female,Female - Female_Below 12 years,Female - Female_12 years & Above_Below 16 years,Female - Female_16 years & Above_Below 18 years,Female - Female_Children,Female - Female_18 years & Above,Transgender - Total Transgender,Transgender - Transgender_Below 12 years,Transgender - Transgender_12 years & Above_Below 16 years,Transgender - Transgender_16 years & Above_Below 18 years,Transgender - Transgender_Children,Transgender - Transgender_18 years & Above,Total - Grand Total,Total - Total_Below 12 years,Total - Total_12 years & Above_Below 14 years,Total - Total_14 years & Above_Below 18 years,Total - Total_Children,Total - Total_18 years & Above
26,Jammu and Kashmir,Sopore,3,0,3,0,3,0,15,0,0,7,7,8,0,0,0,0,0,0,18,0,3,7,10,8
27,Jammu and Kashmir,Srinagar,198,1,9,2,12,186,141,0,4,7,11,130,0,0,0,0,0,0,339,1,13,9,23,316
28,Jammu and Kashmir,Udhampur,76,2,2,4,8,68,137,2,10,20,32,105,0,0,0,0,0,0,213,4,12,24,40,173
29,Jammu and Kashmir,Cyber Crime Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Jammu and Kashmir,Cyber Crime Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Jammu and Kashmir,Anti Narcotic Task Force Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Jammu and Kashmir,Anti Narcotic Task Force Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Jammu and Kashmir,EOW Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Jammu and Kashmir,EOW Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Jammu and Kashmir,CICE Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Jammu and Kashmir,CICE Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Districts,Total Districts,Total Districts,1257,12,41,38,91,1166,1766,17,55,175,247,1519,0,0,0,0,0,0,3023,29,96,213,338,2685
1,Ladakh,Kargil,5,0,0,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,7
2,Ladakh,Leh,11,0,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,16
Total Districts,Total Districts,Total Districts,16,0,0,0,0,16,7,0,0,0,0,7,0,0,0,0,0,0,23,0,0,0,0,23
1,Lakshadweep,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Districts,Total Districts,Total Districts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Puducherry,Karaikal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Puducherry,Puducherry,91,4,3,7,14,77,158,3,7,14,24,134,0,0,0,0,0,0,249,7,10,21,38,211
Total Districts,Total Districts,Total Districts,91,4,3,7,14,77,158,3,7,14,24,134,0,0,0,0,0,0,249,7,10,21,38,211
