district,missing_rate,female_ratio,literacy_rate,workers_ratio,male_total,female_total,child_total,risk_score,state
tinsukia,0.0029665344043851337,0.4877504746112179,0.6011782256430879,0.41959773451743276,558.0,374.0,112.0,0.8889118054961986,Assam
tirap,0.001207917406481404,0.4855637419066756,0.42843491850859566,0.4480375083724046,22.0,10.0,8.0,0.9472934478590641,Arunachal Pradesh
tiruchirappalli,0.002749745536699198,0.5032549801821261,0.7489947801299641,0.44594036638271456,1031.5,739.5,462.5,0.9172128006854448,Tamil Nadu
tirunelveli,0.001369440317161381,0.5057533829904983,0.7387991094596996,0.466800531516463,590.5,406.5,282.5,0.9115724173129846,Tamil Nadu
tiruppur,0.003330988724358379,0.49732438044865535,0.7101771160911511,0.5107343452255136,1135.6666666666667,818.0,528.0,0.9196865720130969,Tamil Nadu
tiruvannamalai,0.007443088673103011,0.4985997261524418,0.659998174349612,0.5023285156448096,2576.5,1764.0,1095.5,0.9871466303609818,Tamil Nadu
tonk,0.005448037662415757,0.4877065500806993,0.5274363516884937,0.45672913884640115,1032.0,800.0,191.0,0.9287602986934507,Rajasthan
tuensang,0.0,0.48151030539787176,0.5977283362835459,0.49926753341878777,0.0,0.0,0.0,0.7356583502494115,Nagal
tumkur,0.004016957717466896,0.495855138896147,0.6768960574547029,0.5056573770614189,1500.0,1046.0,174.0,0.7669399029959156,Karnataka
udaipur,0.011863082448576794,0.4893785726856167,0.5157797824287418,0.44510953520052665,4677.0,3935.0,1791.0,0.9912392227013833,Rajasthan
udalguri,0.0033238092281247565,0.4930465041338611,0.5650403766887748,0.41486506634859105,371.0,283.0,59.0,0.918315708240424,Assam
udham singh nagar,0.008066966075305467,0.4791788717582973,0.6294121785284996,0.3586980912146386,1879.0,1268.0,689.0,0.9927018941104865,Uttarakh
udhampur,0.00587955405484287,0.4652396010702992,0.5808337162265647,0.4390605151490581,466.0,306.0,148.0,0.8648117442140104,Jammu Kashmir
udupi,0.0028038173612527253,0.5225500080264252,0.7868691081155228,0.4359249202241284,514.0,267.0,31.0,0.7309966131444958,Karnataka
ujjain,0.010536794730744824,0.4884959413427391,0.6245973554304673,0.45168768471319626,2954.0,1999.0,734.0,0.8179799258732365,Madhya Pradesh
